S.No,Company_Name,NSE_Symbol,Rating,Industry,,,,
1,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
2,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
3,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
4,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
5,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
6,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
7,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
8,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
9,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
10,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
11,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
12,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
13,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
14,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
15,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
16,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
17,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
18,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
19,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
20,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
21,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
22,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
23,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
24,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
25,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
26,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
27,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
28,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
29,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
30,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
31,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
32,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
33,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
34,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
35,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
36,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
37,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
38,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
39,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
40,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
41,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
42,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
43,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
44,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
45,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
46,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
47,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
48,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
49,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
50,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
51,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
52,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
53,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
54,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
55,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
56,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
57,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
58,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
59,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
60,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
61,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
62,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
63,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
64,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
65,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
66,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
67,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
68,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
69,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
70,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
71,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
72,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
73,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
74,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
75,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
76,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
77,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
78,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
79,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
80,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
81,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
82,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
83,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
84,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
85,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
86,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
87,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
88,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
89,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
90,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
91,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
92,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
93,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
94,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
95,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
96,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
